source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,Gmag,BPmag,RPmag,e_G,e_BP,e_RP,TWOMASS,Jmag,Hmag,Kmag,e_J,e_H,e_K,Qfl,Rfl,X,BPRP_excess
3021086494294837888,90.91158101613,0.0511,-5.03458866471,0.0596,10.4258,0.0796,11.492,0.068,21.72,0.065,16.588264,18.422306,15.293675,0.002974,0.025485,0.005389,06033877-0502049,13.418,12.815,12.488,0.026,0.023,0.023,AAA,222,0,1.521
2998236065691096576,91.02721643091,0.0176,-11.14579998921,0.017,17.1322,0.0244,11.389,0.023,43.42,0.02,10.880535,11.608047,10.053453,0.002759,0.002823,0.003795,06040651-1108455,9.083,8.461,8.297,0.029,0.051,0.021,AAA,111,0,1.273
3020873566995417088,91.1811740721,0.0267,-5.40815808972,0.0287,17.3715,0.0357,19.06,0.039,36.714,0.034,14.808834,16.473076,13.570606,0.002822,0.005115,0.003991,06044345-0524299,11.806,11.219,10.917,0.023,0.023,0.019,AAA,222,0,1.473
3329734625278739712,91.40418463275,0.035,9.89911829152,0.0312,15.7566,0.0452,15.903,0.043,-6.753,0.031,15.152838,16.974594,13.878282,0.00294,0.00629,0.004084,06053698+0953570,12.048,11.434,11.173,0.026,0.026,0.024,AAA,222,0,1.497
3005506758125892096,91.48983210423,0.0244,-9.00391498128,0.0286,15.3014,0.0327,13.042,0.031,42.416,0.031,14.769904,16.47683,13.510869,0.002897,0.006517,0.004172,06055754-0900148,11.676,11.071,10.804,0.048,0.043,0.039,EEA,222,0,1.493
2897000765944570240,91.60485392497,0.0114,-30.59004403593,0.0136,16.3147,0.0161,17.341,0.015,100.629,0.017,14.220373,15.769468,13.013764,0.00294,0.005959,0.004547,06062513-3035258,11.339,10.747,10.487,0.021,0.023,0.021,AAA,222,0,1.453
2997774958001029504,91.656595069,0.0126,-12.50263786132,0.0131,16.937,0.0192,16.869,0.015,57.482,0.014,13.728501,15.187032,12.546444,0.002821,0.003935,0.004039,06063756-1230104,10.867,10.294,10.049,0.023,0.024,0.024,AAA,222,0,1.44
2991432459536767488,91.67167246743,0.0103,-16.26472049493,0.0137,13.2804,0.0177,11.059,0.015,36.822,0.017,12.555861,13.578525,11.546668,0.002771,0.002992,0.003814,06064118-1615535,10.254,9.579,9.391,0.024,0.023,0.023,AAA,222,0,1.349
3373563082906743552,91.82633123649,0.0171,18.23343383383,0.0134,21.0755,0.0189,18.761,0.022,-42.12,0.015,11.871469,12.832397,10.904019,0.00278,0.002869,0.003817,06071829+1814012,9.688,9.066,8.87,0.021,0.022,0.021,AAA,222,0,1.325
2911890249329592704,92.05226788408,0.014,-26.12015780125,0.0175,13.8886,0.0212,14.004,0.018,76.272,0.021,14.699693,16.301731,13.473258,0.002986,0.007805,0.004893,06081252-2607139,11.748,11.115,10.853,0.027,0.022,0.024,AAA,222,0,1.468
