source_id,ra,e_ra,dec,e_dec,plx,e_plx,pmra,e_pmra,pmde,e_pmde,ruwe,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,SrcID,Jap3,e_Jap3,Hap3,e_Hap3,Ksap3,e_Ksap3,TMASS,Jmag,Hmag,Ksmag,e_Jmag,e_Hmag,e_Ksmag,Qflag,Rflag,Xflag,Catalogue,BPRP_excess
5514558787671612544,122.26193656909,0.0096,-49.10059528837,0.0106,2.5633,0.0116,-8.52,0.014,4.1,0.013,0.944,11.719861,11.974069,11.306969,0.002762,0.002873,0.003808,472830623307,11.2274,0.0005,-9,-9,10.6944,0.0009,08090287-4906022,10.864,10.613,10.595,0.022,0.024,0.019,AAA,222,0,GES,1.19
5514296249211928960,122.71071789942,0.0077,-49.59922315398,0.0098,2.6033,0.0097,-8.404,0.01,4.333,0.011,0.96,12.54357,12.876838,12.039681,0.002874,0.003975,0.004336,472830673714,11.5071,0.0006,-9,-9,11.0755,0.001,08105058-4935573,11.498,11.202,11.103,0.027,0.026,0.026,AAA,222,0,GES,1.203
5514351667170003584,122.81947241745,0.0646,-49.37470426357,0.0848,2.6525,0.0769,-8.721,0.084,4.315,0.1,0.987,17.665707,19.300873,16.443554,0.003038,0.037238,0.006891,472830651317,14.6285,0.0044,-9,-9,13.8138,0.0068,08111669-4922290,14.742,14.014,13.876,0.037,0.044,0.05,AAA,222,0,GES,1.458
5514345211840458624,122.64871103035,0.0287,-49.46374632867,0.0367,2.6195,0.0359,-8.63,0.041,3.986,0.045,0.946,16.236805,17.4135,15.153623,0.003145,0.011578,0.007017,472830660012,13.613,0.002,-9,-9,12.7427,0.0031,08103571-4927495,13.661,12.939,12.744,0.024,0.032,0.03,AAA,222,0,GES,1.387
5514365999481965568,122.52941569067,0.0567,-49.21658740372,0.063,2.5015,0.0676,-8.86,0.073,4.329,0.087,0.981,17.424688,18.909286,16.226437,0.00314,0.047608,0.00773,472830635475,14.4295,0.0034,-9,-9,13.6027,0.0056,08100708-4912597,14.589,13.847,13.608,0.046,0.038,0.041,AAA,222,0,GES,1.454
5514335449373051008,122.30584539066,0.079,-49.48976991994,0.0807,2.7432,0.0883,-8.26,0.11,4.798,0.106,1.039,18.030905,19.901375,16.733778,0.00317,0.037303,0.007078,472830662584,14.7425,0.0043,-9,-9,13.9476,0.0079,08091341-4929232,14.798,14.227,13.883,0.032,0.041,0.045,AAA,222,0,GES,1.52
5514550506977203328,121.87587921594,0.0493,-49.0327532691,0.0604,2.4995,0.0627,-8.171,0.064,3.87,0.063,1.202,16.677488,18.183676,15.468316,0.00314,0.014037,0.00499,472830616391,13.7035,0.0022,-9,-9,12.8552,0.0034,08073022-4901579,13.739,13.118,12.862,0.024,0.024,0.03,AAA,222,0,GES,1.463
5515855528500099456,123.01592322622,0.0721,-49.20124798869,0.0918,2.598,0.0902,-9.022,0.094,4.248,0.111,1.079,17.697481,19.38595,16.477644,0.00309,0.031178,0.006226,472830633892,14.6476,0.004,-9,-9,13.8255,0.0068,08120383-4912045,14.672,14.05,13.734,0.037,0.036,0.041,AAA,222,0,GES,1.448
5514375345330684416,122.68934474335,0.0108,-49.01854343204,0.012,2.623,0.0123,-9.09,0.014,4.064,0.016,1.131,12.004985,12.279714,11.556407,0.002767,0.002919,0.003821,472830614974,11.427,0.0006,-9,-9,10.8077,0.0009,08104546-4901068,11.046,10.821,10.729,0.026,0.027,0.021,AAA,222,0,GES,1.199
5514564770568331648,122.57063631155,0.0088,-48.9053809319,0.0104,2.5921,0.0105,-8.389,0.011,4.329,0.014,0.953,13.169497,13.558632,12.605399,0.002976,0.004575,0.004943,472830603923,11.9937,0.0008,-9,-9,11.5476,0.0014,08101697-4854194,11.937,11.557,11.488,0.027,0.026,0.026,AAA,222,0,GES,1.214
5514566690412520448,122.37536648796,0.0438,-48.9187968367,0.0435,2.6237,0.0485,-8.388,0.059,4.581,0.053,1.028,16.948679,18.59011,15.711735,0.002938,0.01621,0.004603,472830605465,13.9053,0.0026,-9,-9,13.0934,0.0038,08093010-4855077,13.868,13.311,13.063,0.037,0.032,0.036,AAA,222,0,GES,1.475
5514334178062504576,122.15954424986,0.0559,-49.54221719164,0.0636,2.5922,0.0662,-8.167,0.076,4.656,0.08,1.495,16.79392,18.148478,15.612165,0.002993,0.011897,0.004499,472830667933,13.9763,0.0026,-9,-9,13.112,0.004,08083830-4932320,13.995,13.327,13.12,0.03,0.024,0.03,AAA,222,0,GES,1.458
5514371664538399104,122.74655123944,0.1159,-49.07436737636,0.1429,2.5233,0.1409,-8.257,0.158,4.422,0.17,1.051,18.39882,20.486528,17.049397,0.003439,0.065726,0.008818,472830620469,15.003,0.0052,-9,-9,14.1944,0.009,08105917-4904277,15.085,14.482,14.171,0.038,0.057,0.061,AAA,222,0,GES,1.565
5514374039660723712,122.60355942593,0.0085,-49.03040727093,0.0101,2.6059,0.01,-8.513,0.012,4.11,0.014,1.008,12.5023,12.823773,12.009158,0.002872,0.003968,0.004351,472830616070,11.5582,0.0007,-9,-9,11.1117,0.0011,08102486-4901495,11.472,11.176,11.135,0.023,0.023,0.023,AAA,222,0,GES,1.202
5514360948600663808,122.48249081005,0.0084,-49.37795967264,0.0092,2.6297,0.0095,-8.561,0.011,4.205,0.013,0.959,13.083483,13.51914,12.481112,0.003088,0.005796,0.00546,472830651682,11.7424,0.0007,-9,-9,11.2278,0.0011,08095581-4922406,11.716,11.293,11.184,0.026,0.026,0.019,AAA,222,0,GES,1.219
5514339611202418560,122.26951738704,0.0487,-49.41099265342,0.0511,2.5735,0.0546,-8.905,0.069,4.279,0.066,1.501,16.466093,17.92683,15.254698,0.003222,0.009356,0.004283,472830654757,13.5226,0.0019,-9,-9,12.6894,0.0031,08090470-4924395,13.591,12.945,12.688,0.029,0.03,0.019,AAA,222,0,GES,1.473
5516065840159179264,122.83614591764,0.045,-48.82293199173,0.0523,2.5618,0.0529,-8.807,0.059,4.279,0.068,1.042,16.96414,18.366467,15.799573,0.003006,0.01625,0.005259,472830595394,14.148,0.0029,-9,-9,13.3116,0.0043,08112069-4849225,14.177,13.47,13.213,0.029,0.027,0.031,AAA,222,0,GES,1.43
5514369607254394880,122.64878038543,0.0184,-49.15022205777,0.02,2.6167,0.0211,-8.306,0.024,4.677,0.027,1.027,15.242824,16.111307,14.318319,0.003404,0.008436,0.006403,472830628342,13.0686,0.0014,-9,-9,12.2562,0.0021,08103572-4909008,13.173,12.492,12.322,0.022,0.022,0.023,AAA,222,0,GES,1.312
5514372149875126144,122.53111544507,0.0223,-49.17907461888,0.0237,2.6262,0.0254,-8.637,0.027,4.543,0.03,1.035,15.474855,16.405224,14.513573,0.003111,0.008029,0.005774,472830631404,13.1663,0.0015,-9,-9,12.3335,0.0022,08100749-4910447,13.222,12.543,12.382,0.024,0.022,0.024,AAA,222,0,GES,1.328
5514555699597383296,122.31852217993,0.0308,-49.12330274731,0.0321,2.581,0.0357,-8.848,0.04,4.402,0.039,1.042,16.228712,17.663244,15.046043,0.002881,0.009169,0.004197,472830625515,13.3657,0.0017,-9,-9,12.5372,0.0025,08091645-4907239,13.375,12.748,12.501,0.022,0.026,0.021,AAA,222,0,GES,1.445
5514550167678451200,121.8942109658,0.02,-49.06964267595,0.0228,2.6148,0.0235,-8.578,0.026,4.065,0.026,1.498,14.664598,15.52642,13.731703,0.003221,0.00687,0.005518,472830620181,12.4158,0.001,-9,-9,11.6338,0.0015,08073463-4904107,12.462,11.771,11.603,0.027,0.024,0.021,AAA,222,0,GES,1.322
5514359849089113600,122.30443805353,0.0101,-49.42782375409,0.0102,2.576,0.0111,-8.516,0.015,4.495,0.014,1.013,13.70271,14.198532,13.050039,0.003241,0.006351,0.005783,472830656388,12.213,0.0009,-9,-9,11.6635,0.0015,08091307-4925401,12.24,11.777,11.628,0.022,0.024,0.019,AAA,222,0,GES,1.227
5514343901868484992,122.68968916723,0.0725,-49.52941704485,0.0913,2.4822,0.0892,-8.764,0.099,4.554,0.105,1.078,17.816763,19.504282,16.563375,0.003164,0.032822,0.006757,472830666581,14.6612,0.004,-9,-9,13.8726,0.0073,08104554-4931459,14.714,14.104,13.726,0.033,0.032,0.045,AAA,222,0,GES,1.489
5514349025771421696,122.57491127192,0.011,-49.39729666195,0.0113,2.5828,0.0123,-8.476,0.016,4.461,0.016,1.099,13.762289,14.266052,13.096104,0.003091,0.00581,0.005251,472830653474,12.2385,0.0009,-9,-9,11.647,0.0015,08101799-4923502,12.227,11.776,11.646,0.022,0.022,0.021,AAA,222,0,GES,1.233
5514566209375082368,122.43778344843,0.0085,-48.94186903109,0.0087,2.6181,0.0093,-8.607,0.011,4.415,0.011,0.943,12.273928,12.571225,11.80937,0.002793,0.003143,0.003925,-9,-9.0,-9.0,-9,-9,11.0357,0.001,08094507-4856307,11.284,11.072,10.978,0.022,0.024,0.019,AAA,222,0,GES,1.197
5514362357349925248,122.43976408384,0.0212,-49.293449008,0.0221,2.5692,0.0235,-8.534,0.029,4.453,0.03,1.007,15.513053,16.516903,14.507312,0.00301,0.007537,0.004944,-9,-9.0,-9.0,-9,-9,12.2275,0.0021,08094556-4917364,13.149,12.46,12.245,0.027,0.024,0.024,AAA,222,0,GES,1.351
5514360708082523648,122.37714556738,0.0106,-49.34563664463,0.0115,2.6014,0.0121,-8.266,0.014,4.543,0.015,0.906,10.987936,11.178291,10.656608,0.002766,0.002834,0.003797,472830648586,11.1953,0.0006,-9,-9,10.5891,0.0008,08093053-4920443,10.336,10.149,10.106,0.027,0.026,0.024,AAA,222,0,GES,1.18
5514335861689767296,122.16008350907,0.0536,-49.525092125,0.0593,2.6018,0.0623,-8.839,0.074,4.345,0.077,1.011,17.454693,19.061531,16.233002,0.003283,0.028136,0.005962,472830666184,14.4074,0.0034,-9,-9,13.5539,0.0056,08083843-4931303,14.476,13.872,13.671,0.028,0.026,0.042,AAA,222,0,GES,1.462
5514362975824998272,122.55375471114,0.0105,-49.23595625751,0.0104,2.5626,0.0115,-8.597,0.013,3.84,0.014,0.88,13.47144,13.913514,12.851263,0.003206,0.006141,0.0054,472830637587,12.0971,0.0009,-9,-9,11.6018,0.0014,08101292-4914094,12.057,11.651,11.551,0.026,0.023,0.027,AAA,222,0,GES,1.228
5516065530926421504,122.74750538662,0.0838,-48.85757567958,0.086,2.4735,0.092,-8.335,0.117,4.21,0.123,0.967,17.828888,19.435783,16.59995,0.003125,0.039456,0.007923,472830599079,14.8238,0.0046,-9,-9,14.0066,0.0077,08105940-4851272,14.889,14.248,13.922,0.043,0.038,0.049,AAA,222,0,GES,1.471
5514372424753047168,122.61262745435,0.0102,-49.14687391485,0.0109,2.5531,0.0117,-9.055,0.014,3.807,0.014,1.113,13.018981,13.403998,12.462914,0.003074,0.005366,0.005186,472830628094,11.8889,0.0007,-9,-9,11.3944,0.0012,08102704-4908487,11.793,11.454,11.354,0.023,0.022,0.023,AAA,222,0,GES,1.211
5514346032172200576,122.48493686734,0.0617,-49.54568675962,0.0692,2.5869,0.0739,-8.85,0.088,4.217,0.093,0.959,17.621412,19.240122,16.399551,0.003094,0.023767,0.005333,472830668201,14.5901,0.0038,-9,-9,13.7526,0.0065,08095640-4932446,14.621,13.976,13.756,0.029,0.046,0.05,AAA,222,0,GES,1.46
5514361189118830080,122.48511391937,0.0197,-49.36968752019,0.0206,2.5997,0.0219,-8.377,0.027,4.027,0.029,1.009,15.387989,16.285238,14.441078,0.003863,0.012383,0.00878,-9,-9.0,-9.0,-9,-9,12.2956,0.0022,08095644-4922109,13.206,12.499,12.273,0.026,0.03,0.024,AAA,222,0,GES,1.324
5514561880048056576,122.51578042156,0.05,-49.01863317759,0.0511,2.6066,0.0559,-8.25,0.068,4.545,0.064,5.406,12.335456,12.654358,11.840755,0.003465,0.008275,0.007113,-9,-9.0,-9.0,-9,-9,10.9235,0.0009,08100380-4901071,11.256,10.973,10.89,0.023,0.023,0.023,AAA,222,0,GES,1.205
5514371874997910656,122.53360961258,0.229,-49.20438285809,0.2478,3.3518,0.2662,-9.49,0.283,3.35,0.361,4.536,13.438519,13.790628,12.597905,0.005176,0.006958,0.005707,-9,-9.0,-9.0,-9,-9,11.034,0.001,08100810-4912157,11.584,11.127,10.954,0.026,0.022,0.024,AAA,222,0,GES,1.437
5514362735306830848,122.53716712473,0.0192,-49.26148361066,0.0188,2.5724,0.0212,-8.898,0.025,4.489,0.028,1.001,15.092893,15.90044,14.204946,0.004551,0.016018,0.010405,-9,-9.0,-9.0,-9,-9,12.1941,0.0021,08100893-4915413,12.938,12.32,12.195,0.026,0.027,0.03,AAA,222,0,GES,1.298
5514349025771421696,122.57491127192,0.011,-49.39729666195,0.0113,2.5828,0.0123,-8.476,0.016,4.461,0.016,1.099,13.762289,14.266052,13.096104,0.003091,0.00581,0.005251,-9,-9.0,-9.0,-9,-9,11.647,0.0015,08101799-4923502,12.227,11.776,11.646,0.022,0.022,0.021,AAA,222,0,GES,1.233
5514563636696837248,122.61885598874,0.0088,-48.94771643662,0.0098,2.6195,0.0102,-8.293,0.011,4.464,0.013,0.977,12.570353,12.919354,12.047151,0.002884,0.004754,0.004918,-9,-9.0,-9.0,-9,-9,11.0802,0.0011,08102854-4856518,11.471,11.137,11.047,0.027,0.026,0.023,AAA,222,0,GES,1.207
