recno   BouyID                SarroID   pc         pemb       s_pc       s_pemb     MissingCI   _RA        _DE        ra_epoch2000     dec_epoch2000    errHalfMaj   errHalfMin   errPosAng   source_id           ra               ra_error   dec              dec_error   parallax   parallax_error   parallax_over_error   pm       pmra     pmra_error   pmdec     pmdec_error   astrometric_n_good_obs_al   astrometric_gof_al   astrometric_chi2_al   astrometric_excess_noise   astrometric_excess_noise_sig   astrometric_params_solved   pseudocolour   pseudocolour_error   visibility_periods_used   ruwe     duplicated_source   phot_g_mean_flux   phot_g_mean_flux_error   Gmag   phot_bp_mean_flux   phot_bp_mean_flux_error   BPmag   phot_rp_mean_flux   RPmag   BPRP_excess   bp_rp      dr2_radial_velocity   dr2_radial_velocity_error   dr2_rv_nb_transits   dr2_rv_template_teff   dr2_rv_template_logg   panstarrs1           sdssdr13   skymapper2   urat1       e_g   e_bp   e_rp   phot_g_mean_mag_corrected   phot_g_mean_mag_error_corrected   phot_g_mean_flux_corrected   phot_bp_rp_excess_factor_corrected   ra_epoch2000_error   dec_epoch2000_error   ra_dec_epoch2000_corr   angDist    2MASS              RAJ2000     DEJ2000     errHalfMaj_x   errHalfMin_x   errPosAng_x   Jmag     Hmag     Kmag     e_Jmag   e_Hmag   e_Kmag   Qfl   Rfl   X   MeasureJD      angDist_x  
  582     J034509.82+240432.6   5149845   0.998252   1.44E-4    1.94E-4    5.6E-5     0           56.29092   24.07572   56.29087183294   24.0758264559    0.0034572    0.0024062    74.86       65268075377736832   56.29096988932   0.1783     24.07562557072   0.1282      7.8485     0.215            36.5001               49.485   20.143   0.211        -45.199   0.158         231                         -2.0776              333.12                0.612                      2.867                          95                          1.0211         0.0461               15                        0.902    false               944.851            1.90107                  18.248959         168.23              22.7934                   19.77378           1439.27             16.85254           1.701                      2.921242   -9                    -9                          0                    -9                     -9                     136890562909401320   -9         -9           571028434   0.003516                0.147132                 0.014296                 18.224477                   0.003486                          966.399                      0.232                                3.3959               2.492                 0.1836                  0.414654   03450980+2404329   56.290845   24.075806   0.07           0.06           4.0           14.8     14.209   13.846   0.035    0.057    0.048    AAA   222   0   2451530.7055   0.395753   
  1087    J034454.79+240636.8   5149921   0.99199    0.966569   0.002699   0.026706   0           56.22829   24.11022   56.22829119728   24.11027932692   0.0135175    0.0052922    78.89       65269041747317248   56.2283764592    0.5088     24.11008292086   0.4343      3.2448     0.904            3.5893                47.534   17.51    0.814        -44.191   0.36          124                         5.1245               289.77                1.715                      7.868                          95                          1.0886         0.11                 11                        1.348    false               638.272            6.4336                   18.674852         736.217             271.78                    18.171026          1200.3              17.04967           3.034                      1.121357   -9                    -9                          0                    -9                     -9                     136930562282792749   -9         -9           -9          0.011285                0.400816                 0.077936                 18.677556                   0.011312                          636.685                      1.805                                13.3034              5.8094                0.3784                  0.213613   03445478+2406370   56.228256   24.110294   0.09           0.08           0.0           13.825   14.338   14.024   -9       0.051    0.054    UAA   22    0   2451530.7055   0.288878   
  205     J034539.29+240820.4   5154828   0.999381   0.007468   6.2E-5     0.001576   0           56.41371   24.139     56.41368656274   24.13906912022   0.0016452    0.0010948    82.64       65269935099961600   56.41378202777   0.0826     24.13886561386   0.059       7.2585     0.0943           76.9889               49.808   19.601   0.102        -45.789   0.07          255                         1.8094               311.24                0.199                      0.9575                         31                          -9             -9                   15                        1.081    false               2553.03            2.49226                  17.16973          358.566             10.9654                   18.952118          3549.6              15.872448          1.531                      3.07967    -9                    -9                          0                    -9                     -9                     136960564137277310   -9         -9           571028541   0.002952                0.03332                  0.006352                 17.16973                    0.002952                          2553.03                      0.038                                1.6377               1.1061                0.1057                  0.260473   03453928+2408206   56.413681   24.139063   0.08           0.06           90.0          13.931   13.325   13.019   0.026    0.034    0.03     AAA   222   0   2451530.7062   0.245998   
  1440    J034516.14+240716.0   5149939   0.966575   0.058756   0.006435   0.014145   0           56.31725   24.12111   56.31720107528   24.12119463641   6.709E-4     5.476E-4     79.78       65270450496044416   56.31729783783   0.033      24.12099472374   0.0251      7.53       0.0381           197.4716              49.174   19.871   0.041        -44.98    0.035         203                         2.6919               259.05                0.108                      1.913                          31                          -9             -9                   14                        1.137    false               15974.9            17.2998                  15.178773         3410.54             28.6431                   16.506485          19318.3             14.032974          1.423                      2.473511   -9                    -9                          0                    -9                     -9                     136940563172635771   -9         -9           571028458   0.002996                0.009536                 0.005081                 15.178773                   0.002996                          15974.9                      0.02                                 0.6674               0.5519                0.0712                  0.344496   03451612+2407162   56.317176   24.121185   0.08           0.06           90.0          12.478   11.937   11.59    0.026    0.034    0.02     AAA   222   0   2451530.7062   0.363341   
  1370    J034423.54+240757.3   5149969   0.974071   0.991776   0.00604    0.004939   1           56.09808   24.13258   56.09808816425   24.13263088803   0.0017376    0.0012349    72.52       65272821318002560   56.09822487064   0.0872     24.13243934164   0.0674      7.3636     0.1              73.6077               51.433   28.071   0.106        -43.098   0.082         237                         67.2933              15059.2               0.742                      684.7                          31                          -9             -9                   16                        5.41     false               4854340.0          1180.66                  8.972041          2818610.0           1561.39                   9.213455           2983180.0           8.561195           1.195                      0.65226    -9                    -9                          0                    -9                     -9                     -9                   -9         -9           571028263   0.002768                0.002854                 0.00381                  8.972041                    0.002768                          4854340.0                    0.006                                1.6984               1.2883                0.1957                  0.18515    03442354+2407575   56.098112   24.132639   0.09           0.07           90.0          8.083    7.811    7.769    0.027    0.031    0.031    AAA   111   0   2451508.6936   0.236995   
  385     J034447.85+241252.4   5150373   0.998984   0.094647   1.07E-4    0.019207   0           56.19937   24.21456   56.19933312115   24.21464962861   0.0012736    8.863E-4     67.11       65275020341243520   56.19942719257   0.0595     24.21445081819   0.0472      7.2261     0.0737           98.0312               48.72    19.304   0.076        -44.732   0.06          192                         0.1495               198.83                0.094                      0.4143                         31                          -9             -9                   15                        1.006    false               4907.16            6.28942                  16.460293         705.846             19.1516                   18.216768          6614.04             15.19673           1.492                      3.020039   -9                    -9                          0                    -9                     -9                     137050561993887985   -9         -9           572028641   0.003087                0.029591                 0.006011                 16.460293                   0.003087                          4907.16                      0.008                                1.2229               0.955                 0.2566                  0.344634   03444783+2412527   56.199321   24.214663   0.07           0.06           0.0           13.329   12.733   12.427   0.024    0.034    0.018    AAA   222   0   2451530.7054   0.404197   
  939     J034444.00+241352.0   5152258   0.995233   0.0        0.001847   1.0E-6     0           56.18333   24.23111   56.18326416841   24.23120974163   4.322E-4     3.195E-4     76.02       65275089060719104   56.18336879678   0.0219     24.23100327842   0.0165      7.4651     0.0264           283.1944              51.175   21.467   0.026        -46.454   0.021         209                         4.3168               1075.61               0.151                      32.61                          31                          -9             -9                   15                        1.219    false               627411.0           633.057                  11.193486         307942.0            730.422                   11.617371          452226.0            10.609508          1.212                      1.007863   6.06                  0.64                        6                    5500.0                 4.5                    137070561831967737   -9         -9           572028625   0.002965                0.003797                 0.004334                 11.193486                   0.002965                          627411.0                     -0.006                               0.4264               0.3272                0.1423                  0.41909    03444398+2413523   56.183251   24.231215   0.07           0.06           0.0           9.913    9.566    9.469    0.026    0.034    0.022    AAA   222   0   2451530.7054   0.458414   
  146     J034544.42+241312.8   3965054   0.999513   0.991752   1.67E-4    0.004507   0           56.43508   24.22022   56.43505524303   24.22031526085   3.803E-4     2.473E-4     92.32       65276703968959488   56.43515551317   0.0172     24.22010548148   0.013       7.5632     0.0192           393.6057              51.49    20.575   0.024        -47.2     0.016         265                         5.0676               880.08                0.129                      22.57                          95                          1.5339         0.0051               15                        1.229    false               1311490.0          1216.17                  10.392956         674097.0            1883.14                   10.766737          913965.0            9.845572           1.211                      0.921165   -9                    -9                          0                    -9                     -9                     137060564349994602   -9         -9           572028862   0.002934                0.004121                 0.004505                 10.392956                   0.002934                          1311490.0                    0.001                                0.3801               0.2476                -0.0358                 0.35244    03454440+2413132   56.43504    24.220335   0.08           0.06           90.0          9.262    8.847    8.753    0.023    0.053    0.021    AAA   112   0   2451530.7063   0.434329   
  1066    J034555.00+241325.8   5156846   0.992745   0.918196   0.003119   0.028718   0           56.47917   24.22383   56.47912293237   24.22393555079   0.0033491    0.0020025    98.16       65276772687884544   56.47922254177   0.1495     24.22372997109   0.1067      6.831      0.1628           41.9541               50.57    20.439   0.208        -46.255   0.13          252                         48.3524              3873.88               1.228                      113.3                          31                          -9             -9                   16                        3.833    false               7748.16            30.4213                  15.964371         1164.75             16.7443                   17.67296           11332.6             14.612076          1.613                      3.060885   -9                    -9                          0                    -9                     -9                     137060564791749077   -9         -9           572028901   0.005076                0.015856                 0.00434                  15.964371                   0.005076                          7748.16                      0.123                                3.3273               2.0384                -0.1492                 0.410201   03455498+2413262   56.479096   24.223955   0.11           0.07           0.0           12.697   12.147   11.842   0.026    0.031    0.021    AAA   222   0   2451530.7151   0.511392   
  105     J034551.34+241744.1   5156965   0.999596   0.034409   3.2E-5     0.005781   0           56.46392   24.29558   56.46387985963   24.29567776005   0.0017765    0.0011135    88.5        65279418387728896   56.46397086947   0.0796     24.29548137555   0.0574      7.4136     0.0847           87.5548               47.966   18.664   0.11         -44.187   0.07          269                         3.1654               485.1                 0.474                      8.646                          95                          1.2419         0.0213               15                        1.14     false               3555.33            6.202                    16.810167         545.031             19.5176                   18.49749           4978.04             15.505249          1.553                      2.992241   -9                    -9                          0                    -9                     -9                     137150564639215176   -9         -9           572028888   0.003343                0.03898                  0.006623                 16.784682                   0.003319                          3639.77                      0.074                                1.7761               1.1141                0.0253                  0.375774   03455132+2417445   56.463847   24.295702   0.1            0.07           0.0           13.637   13.022   12.759   0.029    0.035    0.024    AAA   222   0   2451530.7151   0.500269   
