Intercept, X, X2, X3, A, A2, A3, XA, AX2, XA2, Xname, Kname
0.18773307, 0.013589955, -0.009497525, 0.002153861, -2.91E-05, 9.86E-09, 1.22E-10, 0, 0, 0, TeffNorm, kK
0.19404852, -0.000259572, 0.000495771, -0.000267507, -2.92E-05, 8.02E-09, 1.22E-10, 6.47E-08, 1.50E-07, 2.70E-09, BPRP, kK
0.194059064, -0.000337881, 0.000405005, -0.000119031, -2.91E-05, 9.86E-09, 1.22E-10, 0, 0, 0, GK, kK
0.251194279, 0.005572409, -0.002555539, 0.000364711, -5.54E-05, 2.66E-08, 7.27E-10, -1.63E-05, 5.01E-06, -1.60E-08, TeffNorm, kH
0.255054351, 0.000238094, -0.000948082, 0.000286493, -6.84E-05, -2.41E-09, 7.27E-10, 1.88E-07, 1.01E-06, 1.12E-08, BPRP, kH
0.255058871, 7.19E-05, -0.000250456, 3.99E-05, -6.84E-05, -2.32E-09, 7.27E-10, -2.28E-07, 4.98E-07, 6.67E-09, GK, kH
0.340106742, -0.007830114, 0.008454287, -0.002247165, -0.000140507, 3.21E-07, 2.34E-09, -1.67E-05, 4.55E-06, -7.92E-08, TeffNorm, kJ
0.340345411, -0.001502782, -0.000664573, 0.000417668, -0.000156213, 1.82E-07, 2.34E-09, 3.42E-06, -2.14E-07, 4.79E-08, BPRP, kJ
0.340301468, -0.000826269, -0.000283696, 0.000103539, -0.00015604, 1.82E-07, 2.34E-09, 1.64E-06, 5.72E-08, 2.95E-08, GK, kJ
0.382719668, 0.505895416, -0.314981478, 0.066530209, -0.003837805, 6.50E-05, 1.58E-06, -0.003487407, 0.001108772, -1.83E-05, TeffNorm, kRP
0.663207879, -0.017984716, 0.000493769, -0.002679944, -0.006514221, 3.30E-05, 1.58E-06, -7.98E-05, 0.00025568, 1.10E-05, BPRP, kRP
0.66337415, -0.018481443, 0.010026654, -0.003171193, -0.006493363, 3.28E-05, 1.58E-06, -0.00011629, 0.000117367, 6.91E-06, GK, kRP
0.888088915, 0.113183905, 0.084633773, -0.037126582, -0.002961408, 0.000538661, -1.31E-05, -0.016415218, 0.003239023, 0.000169011, TeffNorm, kBP
1.153631975, -0.081401299, -0.036013024, 0.019214359, -0.022397548, 0.000840563, -1.31E-05, 0.006601241, -0.000882248, -0.000111216, BPRP, kBP
1.151600815, -0.050298251, -0.008010542, 0.002848738, -0.022204592, 0.000841943, -1.31E-05, 0.003464233, -0.000145621, -6.86E-05, GK, kBP
0.259021859, 0.936761119, -0.4374465, 0.078350848, -0.001361274, 0.000797223, -2.52E-05, -0.029981504, 0.00555506, 0.000402778, TeffNorm, kG
0.995969722, -0.15972646, 0.012238074, 0.000907266, -0.037716026, 0.001513475, -2.52E-05, 0.011452266, -0.000936915, -0.000260297, BPRP, kG
0.993548689, -0.110149052, 0.026444772, -0.005710102, -0.037436303, 0.001514473, -2.52E-05, 0.006238248, -0.000123598, -0.0001585, GK, kG

